id,question,image_path,option_a,option_b,answer
kyujin_018,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_018.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_019,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_019.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_020,請問圖片的後面是誰？,data/play_zone/member_quiz_images/kyujin_020.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_021,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_021.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_022,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_022.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_023,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_023.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_024,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_024.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_025,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_025.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_026,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_026.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_027,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_027.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_028,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_028.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
kyujin_029,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/kyujin_029.jpg,Jiwoo 金智友,Kyujin 張圭珍,B
winter_001,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_001.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_002,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_002.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_003,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_003.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_004,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_004.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_005,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_005.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_006,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_006.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_007,請問圖片的右邊是誰？,data/play_zone/member_quiz_images/winter_007.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_008,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/winter_008.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_009,請問圖片的左邊是誰？,data/play_zone/member_quiz_images/winter_009.jpg,Karina 劉知珉,Winter 金旼炡,B
winter_010,請問圖片的人是誰？,data/play_zone/member_quiz_images/winter_010.jpg,Karina 劉知珉,Winter 金旼炡,B
